node_id,x,y,square,nearest_service_point,population,assigned_population,assigned_square,adjusted_Male,adjusted_Female,adjusted_Age0-14,adjusted_Age15-24,adjusted_Age25-44,adjusted_Age45-64,adjusted_Age65+,adjusted_Households,adjusted_Single-person households,adjusted_Multi-person households w/o kids,adjusted_Single parent households,adjusted_Two-parent households,adjusted_Houses,adjusted_Vacant houses,Home ownership %,Rental %,Social housing %,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,Male.prop,Female.prop,Age0-14.prop,Age15-24.prop,Age25-44.prop,Age45-64.prop,Age65+.prop,Single-person households.prop,Multi-person households w/o kids.prop,Single parent households.prop,Two-parent households.prop,hold_house_ratio,pop_house_ratio,pop_hold_ratio,Income_median,adjusted_total_deliveries,adjusted_total_pickups,adjusted_total_demand,adjusted_pickup_ratio,average_distance
6,94877.0,40098.0,E1790N3165,1204,1560.0,9.078701873359805,E1790N3165,4.364760516038367,4.743039760761692,0.8729521032076735,0.9020505066479293,2.036888240817905,2.41516748554123,2.851643537145067,5.1213190054850175,2.444265888981486,1.5713137857738122,0.3200824378428136,0.7856568928869061,4.83033497108246,0.1454920172012789,50.0,50.0,365.0,188.0,2.0,20-60 below middle to middle,54.0,9.0,"0,7",48.07692307692308,52.24358974358975,9.615384615384617,9.935897435897436,22.43589743589744,26.602564102564106,31.41025641025641,47.72727272727273,30.681818181818183,6.25,15.340909090909092,1.0602409638554218,1.879518072289157,1.7727272727272727,40.0,28.487132911885304,68.47862366750213,96.96575657938743,0.7062145037917337,376.3941428947483
59,96060.0,61872.0,E1790N3190,5820,1300.0,28.662934927691143,E1790N3190,14.110983349017179,14.662193636088162,2.976535550183311,3.417503779840098,5.181376698467245,8.598880478307343,8.488638420893146,14.000741291602981,5.181376698467245,4.850650526224655,0.9921785167277704,2.976535550183311,14.221225406431376,0.6614523444851803,60.0,40.0,180.0,247.0,3.0,40-60 midden,39.0,18.0,"0,3",49.23076923076923,51.15384615384615,10.384615384615383,11.923076923076923,18.07692307692308,30.0,29.615384615384617,37.00787401574803,34.645669291338585,7.086614173228346,21.25984251968504,0.9844961240310076,2.0155038759689923,2.047244094488189,50.0,239.87293667611524,78.07525174598777,317.94818842210304,0.245559668490189,290.54509305937154
61,65039.0,44186.0,E1770N3170,4987,2785.0,4.069384784353481,E1770N3170,1.943368676190352,2.1260161081631295,0.2484005074829773,0.4018243503401103,1.0082138244897314,0.7890369061223985,1.6219091959182637,2.571675842176706,1.3808145857141974,0.9132371598638871,0.07305897278911097,0.19725922653059963,2.7397114795916613,0.32145948027208826,40.0,60.0,340.0,349.0,1.0,40-80 middle to above middle,34.0,20.0,"0,5",47.75583482944344,52.24416517055656,6.104129263913824,9.874326750448834,24.775583482944345,19.389587073608617,39.85637342908438,53.69318181818182,35.51136363636363,2.840909090909091,7.670454545454546,0.9386666666666666,1.4853333333333334,1.5823863636363635,60.0,15.689548129326242,23.1887610960572,38.87830922538344,0.5964446900617113,306.71385782039056
69,67545.0,43983.0,E1770N3170,4987,2785.0,4.724445140434519,E1770N3170,2.2561982178735764,2.468246922560943,0.288386238374818,0.4665071503122057,1.1705088498742615,0.9160504042494221,1.882992497623812,2.9856457619981165,1.6030882074364885,1.060243523436831,0.08481948187494648,0.22901260106235552,3.180730570310493,0.37320572024976456,40.0,60.0,340.0,349.0,1.0,40-80 middle to above middle,34.0,20.0,"0,5",47.75583482944344,52.24416517055656,6.104129263913824,9.874326750448834,24.775583482944345,19.389587073608617,39.85637342908438,53.69318181818182,35.51136363636363,2.840909090909091,7.670454545454546,0.9386666666666666,1.4853333333333334,1.5823863636363635,60.0,18.215138981256427,26.921521428544327,45.136660409800754,0.5964446900617113,306.71385782039056
99,28889.0,59101.0,,3513,,13.26658898255559,E1745N3190,6.446816332888459,6.766493175841606,1.8115021100678317,1.3852663194636359,3.4098863248335656,3.46316579865909,3.250047903356992,6.873052123492656,3.0902094818804184,1.971340531544405,0.5327947382552446,1.2254278979870625,6.873052123492656,0.2663973691276223,40.0,60.0,330.0,194.0,2.0,20-60 below middle to middle,52.0,10.0,"0,5",48.59437751004016,51.00401606425703,13.654618473895583,10.441767068273093,25.70281124497992,26.10441767068273,24.497991967871485,44.96124031007752,28.68217054263566,7.751937984496124,17.829457364341085,1.0,1.930232558139535,1.930232558139535,40.0,51.511314884331476,87.62540245755838,139.13671734188986,0.6297791419229999,216.56924584397055
266,94319.0,8065.0,E1790N3135,284,490.0,22.463320265323222,E1790N3135,11.002442578933824,11.231660132661611,2.062957983550092,3.209045752189032,2.979828198461244,7.564179273017004,6.647309058105852,10.544007471478247,3.209045752189032,4.355133520827972,0.229217553727788,2.29217553727788,10.773225025206036,0.916870214911152,70.0,30.0,20.0,303.0,5.0,60-80 above middle,29.0,29.0,"1,1",48.97959183673469,50.0,9.183673469387756,14.285714285714285,13.26530612244898,33.6734693877551,29.59183673469388,30.434782608695656,41.30434782608695,2.1739130434782608,21.73913043478261,0.9787234042553192,2.0851063829787235,2.130434782608696,70.0,98.71477161331602,149.38666260495341,248.10143421826945,0.6021193028393749,318.38190563659424
267,97375.0,8041.0,,284,,4.242868766080312,E1790N3135,2.0781398037944383,2.121434383040156,0.3896512132114572,0.6061241094400445,0.562829530194327,1.4287211151086763,1.2555427981258065,1.9915506453030034,0.6061241094400445,0.8225970056686318,0.04329457924571747,0.4329457924571746,2.0348452245487207,0.17317831698286987,70.0,30.0,20.0,303.0,5.0,60-80 above middle,29.0,29.0,"1,1",48.97959183673469,50.0,9.183673469387756,14.285714285714285,13.26530612244898,33.6734693877551,29.59183673469388,30.434782608695656,41.30434782608695,2.1739130434782608,21.73913043478261,0.9787234042553192,2.0851063829787235,2.130434782608696,70.0,18.645232150985553,28.216131780571146,46.861363931556696,0.6021193028393749,318.38190563659424
275,97074.0,8435.0,E1790N3135,284,490.0,18.38166418508236,E1790N3135,9.003264090652584,9.19083209254118,1.6881120169973596,2.625952026440337,2.4383840245517416,6.189744062323651,5.439472054769269,8.628128086875392,2.625952026440337,3.5637920358833144,0.18756800188859551,1.875680018885955,8.815696088763989,0.7502720075543821,70.0,30.0,20.0,303.0,5.0,60-80 above middle,29.0,29.0,"1,1",48.97959183673469,50.0,9.183673469387756,14.285714285714285,13.26530612244898,33.6734693877551,29.59183673469388,30.434782608695656,41.30434782608695,2.1739130434782608,21.73913043478261,0.9787234042553192,2.0851063829787235,2.130434782608696,70.0,80.77798653408313,122.24263525162996,203.0206217857131,0.6021193028393748,318.38190563659424
278,99675.0,8525.0,E1790N3135,284,490.0,11.449209598876813,E1790N3135,5.6077761300621125,5.724604799438406,1.051458024386646,1.635601371268116,1.5187727018918222,3.8553460894177025,3.3880314119125265,5.374118791309525,1.635601371268116,2.2197447181495864,0.11682866937629402,1.1682866937629401,5.490947460685819,0.4673146775051761,70.0,30.0,20.0,303.0,5.0,60-80 above middle,29.0,29.0,"1,1",48.97959183673469,50.0,9.183673469387756,14.285714285714285,13.26530612244898,33.6734693877551,29.59183673469388,30.434782608695656,41.30434782608695,2.1739130434782608,21.73913043478261,0.9787234042553192,2.0851063829787235,2.130434782608696,70.0,50.31340413424176,76.14008932068236,126.45349345492411,0.6021193028393749,318.38190563659424
280,98319.0,8575.0,E1790N3135,284,490.0,17.695094558023456,E1790N3135,8.666985089644141,8.847547279011728,1.6250597043082764,2.527870651146208,2.3473084617786215,5.9585522491303475,5.236303491660002,8.305860710908968,2.527870651146208,3.4306815979841394,0.18056218936758628,1.8056218936758628,8.486422900276555,0.7222487574703451,70.0,30.0,20.0,303.0,5.0,60-80 above middle,29.0,29.0,"1,1",48.97959183673469,50.0,9.183673469387756,14.285714285714285,13.26530612244898,33.6734693877551,29.59183673469388,30.434782608695656,41.30434782608695,2.1739130434782608,21.73913043478261,0.9787234042553192,2.0851063829787235,2.130434782608696,70.0,77.76086514992232,117.67677659757396,195.4376417474963,0.6021193028393749,318.38190563659424
